,NA_Sales,EU_Sales,JP_Sales,Other_Sales
191,1.98,2.23,0.13,0.8
192,2.71,0.61,1.7,0.11
193,3.59,1.11,0.05,0.38
194,3.21,1.53,0.01,0.38
195,3.22,1.69,0,0.2
196,3.81,0.63,0,0.68
197,1.96,1.43,1.08,0.65
198,2.66,2.01,0,0.41
199,1.7,2.02,0.16,1.21
200,0.6,3.29,0.06,1.13
201,3.4,1.3,0.15,0.22
202,2.05,1.16,1.11,0.73
203,3.42,1.38,0.02,0.2
204,2.59,1.06,0.8,0.57
205,2.79,1.89,0,0.33
206,3.36,1.36,0.07,0.21
207,3.06,1.18,0.29,0.46
208,3.49,0.01,0.01,1.48
209,3.39,1.03,0.09,0.44
210,1.85,1.2,1.54,0.37
211,2.31,1.73,0.12,0.78
212,3.98,0.26,0.01,0.66
213,2.89,1.54,0,0.46
214,2.91,0.99,0.89,0.1
215,0,0,4.87,0
216,2.62,0.6,1.52,0.1
217,2.74,1.36,0.12,0.63
218,2.56,1.68,0,0.59
219,1.91,2,0.09,0.83
220,0.57,3.14,0.04,1.07
221,2.57,1.57,0.44,0.21
222,0.28,3.75,0.06,0.69
223,2.99,1.31,0.04,0.41
224,2.36,2.1,0.02,0.25
225,1.73,2.19,0,0.79
226,3.05,1.41,0.02,0.2
227,1.87,1.12,1.32,0.37
228,1.94,1.95,0.08,0.7
229,2.08,2.04,0.06,0.47
230,2.29,1.97,0.13,0.24
231,3.06,1.12,0,0.44
232,2.42,0.91,1.15,0.13
233,2.6,0.99,0.89,0.13
234,1.89,1.99,0.22,0.48
235,1.78,1.39,1.1,0.3
236,1.55,1.15,1.44,0.43
237,1.78,1.87,0.07,0.82
238,3.19,0.92,0.01,0.42
239,4.18,0.26,0.01,0.08
240,4.21,0.24,0,0.05
241,3.63,0.24,0.01,0.61
242,2.71,1.51,0.03,0.23
243,0.2,0.14,4.1,0.02
244,1.96,1.69,0.08,0.74
245,1.54,1.94,0.19,0.77
246,2.71,1.29,0.02,0.43
247,2.55,1.11,0.46,0.33
248,2.67,1.35,0.01,0.39
249,2.66,1.29,0.01,0.46
250,0.1,2.39,1.05,0.86
251,2.82,1.05,0.13,0.4
252,2.19,0.5,1.61,0.08
253,2.03,1.79,0.08,0.47
254,1.73,1.73,0.14,0.75
255,3.03,0.91,0.26,0.13
256,2.2,0.58,1.38,0.17
257,0.92,2.93,0.01,0.46
258,2.75,1.18,0,0.37
259,4,0.26,0,0.05
260,2.51,1.27,0.11,0.41
261,2.64,1.2,0.03,0.39
262,2.11,1.11,0.72,0.3
263,2.23,1.34,0.07,0.61
264,1.41,2.02,0.1,0.72
265,3,1.11,0.05,0.07
266,1.46,0,0.83,1.93
267,2.45,1.02,0,0.75
268,1.7,2.27,0,0.23
269,2.03,1.27,0.62,0.3
270,0.78,2.55,0.04,0.84
271,0.88,2.3,0.2,0.83
272,1.3,2.07,0.18,0.65
273,1.28,1.83,0.57,0.53
274,2.25,1.47,0.04,0.43
275,2.02,1.06,0.58,0.53
276,0.84,2.79,0.02,0.53
277,3.38,0.44,0.31,0.04
278,2.04,0.48,1.57,0.07
279,3.79,0.27,0,0.11
280,3.36,0.21,0.01,0.56
281,1.4,1.86,0.11,0.77
282,4.03,0,0.09,0
283,1.65,0.61,1.76,0.09
284,0.71,2.48,0.03,0.89
285,2.14,1.2,0.37,0.4
286,1.42,0.51,2.1,0.07
287,2.13,1.5,0.05,0.42
288,2.45,1.26,0.01,0.37
289,2.57,1.52,0,0
290,2.65,1.06,0.04,0.33
291,2.32,0.04,0.04,1.67
292,2.35,1.28,0.03,0.41
293,0.12,2.26,0.9,0.77
294,2.28,1.55,0.16,0.06
295,1.68,1.51,0.51,0.35
296,1.12,2.12,0.1,0.69
297,2.78,0.58,0.64,0.04
298,1.38,1.87,0.12,0.65
299,1.22,0.28,2.46,0.04
300,2.15,1.2,0.07,0.59
301,0.92,1.78,0.92,0.37
302,2.67,0.89,0.05,0.37
303,2.08,1.35,0,0.54
304,2.1,1.36,0.06,0.4
305,1.18,1.96,0.08,0.7
306,1.97,0.76,1.07,0.11
307,2.29,1.17,0.01,0.42
308,1.33,1.71,0.13,0.73
309,0.67,0.49,2.62,0.11
310,1.53,1.61,0.06,0.67
311,1.15,2.09,0,0.64
312,0.93,1.94,0.31,0.7
313,0.1,0,3.77,0
314,2.12,1.14,0.1,0.51
315,2.48,0.65,0.03,0.69
316,0.16,1.89,1.12,0.68
317,0.87,1.57,1.05,0.35
318,2.12,1.44,0.22,0.06
319,2.21,0.96,0.54,0.13
320,2.26,0.48,0.81,0.27
321,1.06,1.93,0.41,0.43
322,1.44,1.37,0.73,0.27
323,1.49,1.58,0.1,0.61
324,1.14,1.91,0.27,0.46
325,2.4,1.03,0,0.36
326,1.82,1.24,0.47,0.25
327,1.4,1.4,0.1,0.87
328,1.98,1.47,0,0.32
329,2.03,1.56,0,0.17
330,1.98,0.88,0.59,0.32
331,1.37,2,0.14,0.22
332,0.96,2,0.21,0.56
333,1.3,0.77,1.54,0.11
334,1.93,1.58,0,0.19
335,0.58,2.48,0.04,0.59
336,1.49,0.73,1.38,0.1
337,1.3,1.51,0.27,0.61
338,1.59,1.61,0.08,0.41
339,0,0,3.67,0
340,2.13,1.18,0.01,0.35
341,1.65,1.22,0,0.79
342,1.87,1.13,0.55,0.1
343,2.53,0.81,0.06,0.24
344,2.33,0.97,0,0.35
345,0.71,1.8,0.4,0.74
346,2.08,1.09,0.15,0.33
347,2.23,0.68,0.66,0.06
348,0.6,2.46,0.05,0.52
349,0.05,0,0.64,2.93
350,1.78,1.42,0.05,0.38
351,2.08,0.83,0.46,0.25
352,1.28,1.61,0.15,0.57
353,1.93,1.22,0.03,0.44
354,2.05,1.4,0,0.16
355,2.02,1.17,0,0.42
356,1.61,1.5,0.1,0.39
357,2.38,0.67,0.46,0.1
358,2.18,1.02,0.03,0.37
359,2.01,1.35,0.06,0.16
360,1.57,1.79,0,0.2
361,1.56,1.4,0.07,0.5
362,1.23,1.77,0.05,0.49
363,1.66,1.58,0.12,0.18
364,1.9,1.13,0.1,0.41
365,1.98,1.14,0.01,0.41
366,2.14,1.08,0.02,0.29
367,0.71,2.4,0.02,0.4
368,1.96,1.33,0,0.23
369,2.14,1.21,0.01,0.17
370,2.66,0.5,0.05,0.3
371,1.22,1.66,0.27,0.38
372,2.11,0.94,0.12,0.34
373,1.17,0.5,1.75,0.08
374,2.84,0.39,0.03,0.24
375,1.64,0.38,1.42,0.06
376,2.2,0.97,0.02,0.31
377,0.59,1.83,0.73,0.35
378,0.59,2.36,0.04,0.51
379,1.94,1.22,0.02,0.31
380,2.09,1.02,0.04,0.32
381,2.11,1.01,0.01,0.35
382,2.26,0.89,0,0.3
383,0.88,1.75,0.1,0.72
384,0,0,3.44,0
385,2.39,0.73,0.03,0.29
386,1.55,1.27,0.33,0.29
387,1.34,1.54,0.17,0.38
388,1.82,1.07,0.06,0.47
389,1.13,2.07,0,0.22
390,0.86,0,2.55,0.02
391,1.75,1.2,0.02,0.43
392,1.73,0.69,0.59,0.4
393,0.46,2.28,0.05,0.61
394,1.56,1.47,0.19,0.17
395,2.03,1.03,0,0.32
396,1.08,1.35,0.48,0.47
397,1.43,0.94,0.74,0.27
398,2.47,0.76,0,0.13
399,1.9,0.67,0.73,0.06
400,0.65,1.61,0.82,0.28
401,1.63,1.53,0,0.18
402,1.9,1.14,0.01,0.29
403,0,0.99,2.32,0.02
404,1.45,1.29,0.12,0.46
405,1.44,1.01,0.57,0.3
406,1.15,1.17,0.76,0.24
407,1.47,1.39,0.03,0.43
408,1.99,1.05,0.05,0.22
409,1.5,1.28,0.05,0.46
410,0.8,1.92,0.06,0.5
411,2.13,0.92,0,0.23
412,1.89,1.05,0.02,0.31
413,1.36,1.13,0.46,0.32
414,0.5,1.59,0.31,0.87
415,0.25,0.19,2.78,0.04
416,0.95,1.3,0.77,0.22
417,0.88,2.11,0,0.23
418,1.27,1.33,0.12,0.51
419,2.33,0.3,0,0.59
420,0.03,0,3.18,0
421,1.72,1.33,0,0.16
422,0.73,0.1,2.35,0.02
423,2.26,0.72,0.12,0.1
424,1.76,1.21,0.07,0.16
425,1.35,0.6,0.8,0.44
426,1.48,1.01,0.04,0.66
427,0,0,3.19,0
428,2.15,0.77,0.01,0.26
429,1.78,1.12,0.09,0.19
430,1.18,0.87,0.93,0.2
431,1.52,1.08,0.1,0.47
432,1.86,1.02,0,0.29
433,0.58,0.51,1.93,0.14
434,2.06,0.56,0.38,0.17
435,1.88,0.98,0,0.3
436,1.92,0.16,0.99,0.09
437,1.79,1.06,0,0.29
438,1.22,1.57,0.06,0.29
439,0.88,0.97,0.88,0.42
440,1.89,0.99,0.03,0.24
441,0.68,0,0,2.46
442,1.7,1.25,0.02,0.16
443,2.14,0.86,0,0.13
444,2.31,0.62,0.14,0.04
445,0.91,1,1.03,0.17
446,1.69,0.87,0.14,0.42
447,0.08,0,3.03,0.01
448,1.29,1.27,0.06,0.5
449,1.99,0.82,0.03,0.27
450,0.78,2.02,0,0.3
451,2.17,0.28,0.55,0.08
452,2.5,0.16,0.01,0.42
453,1.92,0.45,0.64,0.07
454,1.89,0.91,0.04,0.24
455,1.4,0.99,0.46,0.22
456,1.57,0.62,0.55,0.34
457,1.72,1.21,0,0.14
458,1.94,0.86,0.03,0.24
459,1.91,0.84,0,0.29
460,1.38,1.35,0.02,0.28
461,2.06,0.64,0.12,0.22
462,1.94,0.8,0.02,0.27
463,1.54,1.33,0,0.16
464,1.4,1.07,0.08,0.47
465,1.85,1.04,0,0.13
466,2.03,0.47,0.45,0.07
467,1.45,1.13,0.07,0.38
468,2.38,0.32,0,0.31
469,2.6,0.21,0.01,0.19
470,1.15,0,0.76,1.09
471,1.57,1.02,0,0.41
472,1.01,1.41,0.05,0.53
473,1.61,0.51,0.8,0.07
474,1.67,1.18,0,0.13
475,0.12,1.26,1.16,0.45
476,1.36,0.86,0.64,0.13
477,0.47,1,1.39,0.12
478,1.33,1.12,0.08,0.45
479,0.96,1.72,0,0.29
480,1.58,1.01,0,0.38
481,1.04,1.37,0.06,0.49
482,1.57,0.04,1.19,0.15
483,1.36,1.15,0.04,0.41
484,1.82,0.71,0.15,0.26
485,1.98,0.58,0.34,0.04
486,2.22,0.51,0.06,0.15
487,1.45,1.11,0.04,0.33
488,1.76,0.69,0.12,0.37
489,2.07,0.77,0.05,0.05
490,1.83,0.8,0.03,0.27
491,0.87,1.06,0.73,0.26
492,1.43,1.13,0.05,0.3
493,1.75,0.45,0.62,0.09
494,0.61,1.85,0.11,0.33
495,1.84,0.8,0.04,0.22
496,1.54,1.14,0,0.22
497,1.75,0.86,0,0.28
498,0.08,1.24,1.13,0.45
499,0.71,1.51,0.06,0.61
500,0.99,0.32,1.38,0.2
501,1.51,1.12,0.01,0.24
502,1.54,1.07,0,0.28
503,2.03,0.72,0.02,0.11
504,1.3,1.27,0,0.31
505,0.09,2.43,0.12,0.22
506,1.87,0.77,0,0.22
507,2.53,0.16,0,0.17
508,2.09,0.63,0.03,0.11
509,1.98,0.55,0,0.32
510,1.37,0.51,0.89,0.07
511,1.29,0.53,0.98,0.05
512,1.37,1.34,0,0.14
513,1.4,1.14,0,0.31
514,0.4,1.98,0.05,0.42
515,1.87,0.57,0.11,0.3
516,1.65,0.86,0.05,0.28
517,2.52,0.09,0,0.22
518,1.28,1.05,0.07,0.43
519,1.32,1.08,0.04,0.39
520,1.96,0.67,0.1,0.09
521,1.59,1.05,0.04,0.14
522,0.02,2.79,0,0
523,1.05,1.25,0.03,0.48
524,1.32,1.19,0,0.3
525,1.32,1.06,0.04,0.38
526,1.74,0.8,0,0.26
527,1.47,0.07,1.1,0.15
528,0.29,0.2,2.13,0.18
529,1.45,0.88,0.09,0.38
530,1.96,0.72,0,0.11
531,1.19,1.15,0.04,0.41
532,0,0,2.78,0.01
533,1.98,0.7,0,0.11
534,0.89,1.43,0,0.48
535,2.19,0.22,0,0.38
536,0.3,1.47,0.68,0.34
537,0.46,0.29,1.96,0.07
538,1.68,0.74,0,0.36
539,1.27,0.97,0.07,0.47
540,1.44,0.83,0.26,0.25
541,1.2,0.98,0.17,0.43
542,1.41,1.12,0,0.24
543,1.24,1.2,0.04,0.3
544,1.25,1.15,0.07,0.3
545,2.56,0.17,0,0.03
546,1.43,0.54,0.71,0.07
547,1.07,1.31,0.06,0.31
548,1.02,0.36,1.13,0.23
549,1.33,0.31,1.04,0.05
550,1.52,0.94,0.02,0.24
551,1.49,0.93,0.02,0.27
552,1.75,0.52,0.33,0.1
553,0.99,0.48,1.09,0.14
554,1.47,0.76,0,0.47
555,1.25,0.53,0.87,0.05
556,2.42,0.11,0,0.16
557,1.85,0.64,0.01,0.19
558,2.38,0.12,0,0.18
559,1.63,0.52,0.35,0.18
560,1.46,0.98,0,0.24
561,1.23,1.11,0,0.34
562,0,0,2.68,0
563,0.69,1.41,0.04,0.53
564,0.78,0.75,0.89,0.26
565,1.95,0.63,0,0.09
566,1.48,0.92,0.01,0.26
567,1.78,0.64,0,0.25
568,1.44,1.09,0,0.14
569,1.99,0.58,0,0.09
570,1.59,0.8,0,0.26
571,1.15,1.11,0,0.4
572,1.56,0.88,0,0.22
573,0.86,1.11,0.01,0.66
574,0,0,2.65,0
575,2,0.5,0.12,0.03
576,1.53,0.87,0,0.24
577,2,0.47,0.02,0.14
578,0.76,1.1,0.12,0.65
579,1.53,0.82,0.04,0.24
580,1.7,0.46,0.06,0.41
581,2.15,0.12,0,0.36
582,1.07,1.06,0.24,0.25
583,1.55,0.81,0.04,0.21
584,0.59,1.79,0.01,0.23
585,2.31,0.14,0.01,0.16
586,0.63,0.84,0.96,0.19
587,0.9,1.22,0.04,0.44
588,1.02,0.52,0.92,0.14
589,1.86,0.55,0.11,0.08
590,0.48,1.63,0.04,0.43
591,0.93,1.12,0.08,0.45
592,2.03,0.21,0,0.35
593,0.64,1.24,0.01,0.69
594,0.89,1.33,0.07,0.28
595,1.04,1.24,0.03,0.27
596,0.37,0.27,1.75,0.18
597,1.4,0.88,0.03,0.26
598,1.31,0.74,0.31,0.22
599,0.28,1.68,0.33,0.28
600,1.76,0.56,0.03,0.22
601,2.14,0.08,0,0.35
602,1.7,0.59,0.21,0.07
603,0.15,0,2.41,0
604,2.11,0.23,0,0.22
605,1.21,0.57,0.7,0.07
606,1.13,0.87,0.29,0.25
607,2.21,0.12,0,0.2
608,2.36,0.14,0,0.03
609,1.13,1.12,0.06,0.22
610,1.55,0.75,0.16,0.06
611,1.5,0.78,0,0.24
612,0.49,0,0.52,1.51
613,0.6,1.31,0.08,0.52
614,2.29,0.02,0,0.19
615,0.13,0.07,0.26,2.05
616,1.28,0.14,1.08,0.01
617,0.86,1.06,0.18,0.39
618,1.84,0.56,0,0.09
619,1.29,0.97,0,0.23
620,1.81,0.52,0,0.15
621,1.15,0.85,0.1,0.39
622,1.38,0.85,0,0.25
623,1.15,1.14,0.06,0.13
624,1.72,0.44,0.05,0.27
625,1.93,0.34,0,0.21
626,2.1,0.2,0,0.17
627,1.13,0.36,0.92,0.07
628,1.67,0.58,0,0.2
629,1.55,0.54,0.05,0.31
630,0,0,2.43,0.02
631,0.93,0.12,1.34,0.06
632,2.12,0.25,0,0.07
633,1.44,0.73,0.04,0.22
634,0.87,0.98,0,0.59
635,1.07,1.19,0,0.18
636,1.52,0.82,0,0.1
637,1.56,0.61,0.02,0.23
638,1.26,0.61,0.46,0.08
639,1.27,0.32,0.78,0.05
640,0.29,1.18,0.54,0.41
641,1.63,0.22,0.51,0.06
642,2.07,0.26,0,0.08
643,0.81,0.76,0.7,0.14
644,1.43,0.76,0,0.22
645,0.69,0,0.04,1.68
646,2.07,0.08,0,0.26
647,2.1,0.24,0,0.07
648,0.77,0.18,1.42,0.03
649,2.3,0.1,0,0
650,2.15,0.18,0,0.07
651,0.49,1.49,0.05,0.36
652,1.74,0.48,0,0.18
653,1.54,0.63,0,0.22
654,1.49,0.81,0,0.1
655,1.07,0.87,0.04,0.4
656,1.48,0.71,0,0.2
657,1.67,0.61,0.03,0.07
658,1.02,0.97,0,0.39
659,1.73,0.46,0.02,0.18
660,1.94,0.39,0.03,0.02
661,1,0.76,0.26,0.36
662,1.46,0.54,0.01,0.37
663,2.04,0.15,0,0.19
664,1.16,0.91,0,0.3
665,2.18,0.01,0,0.18
666,2.28,0.02,0.08,0
667,0.96,1.08,0.04,0.3
668,1.25,0.86,0.01,0.26
669,2.03,0.13,0,0.21
670,1.38,0.74,0.02,0.22
671,0.69,0.14,1.48,0.05
672,1.07,1.05,0,0.23
673,1.39,0.48,0.4,0.08
674,0,0,2.34,0.01
675,1.68,0.46,0.01,0.2
676,1.32,0.83,0,0.2
677,0.92,0,0.01,1.41
678,1.2,0.9,0,0.24
679,1.08,0.7,0.34,0.21
680,1.27,0.86,0,0.2
681,1.14,0.54,0.47,0.17
682,1.93,0.14,0,0.24
683,1.57,0.56,0,0.19
684,0.78,0.4,1.06,0.07
685,0.79,1.35,0.04,0.14
686,0.85,1.06,0.09,0.32
687,0.52,0.45,1.21,0.13
688,1.58,0.64,0,0.09
689,0.28,0,2.02,0.01
690,1.65,0.46,0.1,0.1
691,1.24,0.85,0,0.21
692,0.95,1.06,0,0.29
693,0.95,0.54,0.62,0.18
694,1.08,0.75,0.15,0.31
695,0.91,1.25,0,0.13
696,1.23,0.68,0.04,0.34
697,1.38,0.8,0,0.1
698,0.3,1.27,0.46,0.26
699,1.11,0.98,0,0.2
700,0,0,2.28,0
701,0.51,0.12,1.63,0.02
702,0.38,0.07,0.01,1.82
703,1.01,0.9,0,0.37
704,1.05,0.77,0.1,0.36
705,0.07,2,0.02,0.18
706,1.12,0.39,0.64,0.12
707,1.34,0.62,0,0.31
708,1.07,0.92,0.04,0.24
709,1.22,0.1,0.91,0.04
710,0.9,0.73,0.54,0.09
711,1.4,0.54,0.02,0.3
712,1.19,0.84,0,0.23
713,1.34,0.57,0.14,0.21
714,0.28,0.79,0.87,0.32
715,0.62,0.44,1.06,0.13
716,1.52,0.46,0.2,0.08
717,1.48,0.25,0.46,0.06
718,1.93,0.15,0,0.17
719,0.67,0.41,1.05,0.11
720,0.51,0.51,0.91,0.32
721,1.19,0.71,0.22,0.13
722,1.29,0.83,0,0.11
723,1.74,0.25,0.21,0.03
724,1.42,0.61,0,0.21
725,1.09,0.85,0,0.28
726,1.27,0.62,0.18,0.16
727,0.88,1.03,0,0.31
728,1.71,0.32,0.02,0.18
729,1,0.63,0.45,0.13
730,1.03,0.98,0,0.21
731,1.45,0.55,0.02,0.19
732,1.47,0.55,0,0.19
733,1.06,0.82,0.05,0.28
734,1.78,0.24,0,0.18
735,2.06,0.12,0,0.02
736,2.01,0.02,0,0.17
737,1.11,0.51,0.34,0.23
738,0.15,0,2.05,0
739,1.28,0.68,0.02,0.21
740,1.06,0.91,0,0.23
741,0.34,0.97,0.55,0.33
742,1.17,0.78,0.02,0.22
743,1.68,0.44,0,0.08
744,0.87,0.17,1.1,0.05
745,1.04,0.72,0.3,0.13
746,0.59,1.07,0.07,0.45
747,0,0,2.17,0.01
748,1.92,0.2,0,0.06
749,1.21,0.78,0.01,0.17
750,1.97,0.07,0,0.13
751,1.29,0.04,0.73,0.12
752,1.48,0.17,0.47,0.06
753,1.27,0.68,0.01,0.2
754,1.6,0.46,0.08,0.03
755,0.48,0.11,1.56,0.02
756,1.23,0.83,0,0.1
757,1.51,0.47,0,0.18
758,1.5,0.55,0.02,0.08
759,0.54,1.16,0.13,0.32
760,0.14,0.03,1.98,0
761,0.6,1.41,0,0.14
762,0.52,1.03,0,0.59
763,0.66,0,1.45,0.03
764,0.01,0,2.13,0
765,1.47,0.38,0.19,0.1
766,1.2,0.84,0,0.1
767,1.99,0.12,0,0.02
768,1.04,0.81,0,0.27
769,0.64,0.07,1.35,0.08
770,0.82,0.37,0.89,0.05
771,0.59,1.16,0.06,0.33
772,0.93,0.97,0.02,0.21
773,0.91,0.05,1.07,0.09
774,1.47,0.09,0.45,0.11
775,1.37,0.61,0.05,0.09
776,0.83,0.33,0.92,0.04
777,1.61,0.27,0.05,0.18
778,1.2,0.62,0,0.29
779,1.68,0.4,0,0.03
780,0.11,1.34,0.4,0.26
781,1.68,0.31,0.02,0.09
782,0.9,0.45,0.63,0.13
783,1.35,0.56,0,0.2
784,0.63,0.21,1.13,0.13
785,1.63,0.33,0,0.15
786,0.94,0.07,1.05,0.04
787,1.17,0.72,0,0.22
788,1.54,0.44,0.04,0.07
789,1.77,0.13,0.02,0.18
790,1.41,0.51,0.01,0.17
791,0.99,0.63,0.29,0.19
792,0,0,1.96,0.14
793,1.16,0.65,0.08,0.2
794,1.26,0.6,0.05,0.18
795,1.84,0.12,0.01,0.13
796,1.97,0,0,0.12
797,0.92,0.94,0,0.22
798,0.7,0.93,0.14,0.32
799,0.46,0.42,0.96,0.25
800,1.77,0.32,0,0
801,1.11,0.71,0,0.27
802,0.63,1.02,0.05,0.39
803,1.36,0.52,0,0.2
